"word1","word2","length","difficulty","reasoning"
"saw","was","3","Very Easy","Both words are instantly known and the definitions are clear."
"dog","god","3","Very Easy","Both words are instantly known and easily anchorable."
"emit","time","4","Very Easy","The definition of 'emit' is a clear anchor, and 'time' is a common word."
"evil","live","4","Very Easy","Both words are instantly known and easily anchorable."
"fig","gif","3","Very Easy","The definition of 'fig' is a clear anchor, and the word is relatively common. The definition of 'gif' is also clear, and the word is well-known."
"ave","eva","3","Very Easy","The definition of 'ave' is a reverential salutation, which is a common and easily recognizable concept. The definition of 'eva' is a pronunciation spelling of 'ever', which is also easily recognizable."
"pis","sip","3","Very Easy","The definition of 'pis' as a plural of pi is less common, but 'sip' is a very familiar word that can be anchored on instantly."
"cod","doc","3","Very Easy","The definition of 'cod' as a sea fish is less common, but 'doc' is a very familiar word that can be anchored on instantly."
"snaps","spans","5","Very Easy","Both words are household words, and the definitions are clear anchors."
"hoo","ooh","3","Very Easy","Both definitions are immediately familiar, making it easy to anchor on either word."
"bol","lob","3","Very Easy","The definition of 'bol' is immediately familiar, and 'lob' is a common term, making it easy to anchor on and discover the less common term 'lob'."
"sloops","spools","6","Very Easy","Both words are instantly recognizable from their definitions."
"bun","nub","3","Very Easy","Both words are instantly recognizable from their definitions."
"avo","ova","3","Very Easy","Both words are instantly recognizable from their definitions."
"desserts","stressed","8","Very Easy","Both words are household names, making it easy to anchor on either one."
"dah","had","3","Easy","The definition of 'dah' is clear, and 'had' is a common word."
"now","won","3","Easy","The definition of 'now' is clear, and 'won' is a common word."
"may","yam","3","Easy","The definition of 'may' is a clear anchor, and 'yam' is a familiar word."
"part","trap","4","Easy","The definition of 'part' is a clear anchor, and 'trap' is a common word."
"know","wonk","4","Easy","The definition of 'know' is a clear anchor, and 'wonk' is a familiar word."
"got","tog","3","Easy","The definition of 'got' is colloquial and easy to understand, making it a good anchor for the puzzle."
"new","wen","3","Easy","The definition of 'new' is easy to understand, making it a good anchor for the puzzle."
"net","ten","3","Easy","The definition of 'net' is easy to understand, making it a good anchor for the puzzle."
"door","rood","4","Easy","The definition of 'door' is immediately familiar and gives away the anchor word. The definition of 'rood' is less common, but still easy to understand."
"keep","peek","4","Easy","The definition of 'keep' is immediately familiar and gives away the anchor word. The definition of 'peek' is less common, but still easy to understand."
"pot","top","3","Easy","The definition of 'pot' is immediately familiar and gives away the anchor word. The definition of 'top' is less common, but still easy to understand."
"meet","teem","4","Easy","The definition of 'meet' is quite common and easy to understand, making it a good anchor. The definition of 'teem' is also familiar, but not as immediately obvious."
"boy","yob","3","Easy","The definition of 'boy' is very common and easy to understand, making it a good anchor. The definition of 'yob' is less familiar, but still relatively easy to grasp."
"bad","dab","3","Easy","The definition of 'bad' is very common and easy to understand, making it a good anchor. The definition of 'dab' is also familiar, but not as immediately obvious."
"bed","deb","3","Easy","The definition of 'bed' is very common and easy to understand, making it a good anchor. The definition of 'deb' is less familiar, but still relatively easy to grasp."
"big","gib","3","Easy","The definition of 'big' is very common and easy to understand, making it a good anchor. The definition of 'gib' is less familiar, but still relatively easy to grasp."
"nav","van","3","Easy","The definition of 'nav' is easily guessable, and 'van' is a common word."
"per","rep","3","Easy","The definition of 'per' is easily guessable, and 'rep' is a common word."
"pay","yap","3","Easy","The definition of 'pay' is easily guessable, and 'yap' is a common word."
"dat","tad","3","Easy","The definition of 'dat' is easily guessable, and 'tad' is a common word."
"don","nod","3","Easy","The definition of 'don' as a university professor is immediately obvious, making it a clear anchor."
"doom","mood","4","Easy","Both words are relatively common, with 'doom' being a well-known term and 'mood' being a familiar concept."
"dim","mid","3","Easy","The definition for 'dim' is a common word, making it easy to anchor on."
"diam","maid","4","Easy","The definition for 'diam' is a common abbreviation, making it easy to anchor on."
"gas","sag","3","Easy","The definition for 'gas' is a common word, making it easy to anchor on."
"deer","reed","4","Easy","The definition for 'deer' is a common word, making it easy to anchor on."
"hem","meh","3","Easy","The definition of 'hem' is a common sewing term, making it easy to anchor on. The definition of 'meh' is also easily understandable, but not as immediately obvious."
"pit","tip","3","Easy","The definition of 'pit' is a common term, making it easy to anchor on. The definition of 'tip' is also easily understandable, but not as immediately obvious."
"eel","lee","3","Easy","The definition of 'eel' is a common term, making it easy to anchor on. The definition of 'lee' is also easily understandable, but not as immediately obvious."
"gar","rag","3","Easy","The definition of 'gar' is a common term, making it easy to anchor on. The definition of 'rag' is also easily understandable, but not as immediately obvious."
"cap","pac","3","Easy","The definition of 'cap' is a common term, making it easy to anchor on. The definition of 'pac' is also easily understandable, but not as immediately obvious."
"dos","sod","3","Easy","The definition of 'dos' as the plural of 'do' is immediately clear, making it easy to anchor on."
"bag","gab","3","Easy","The definition of 'bag' as a soft container is immediately clear, making it easy to anchor on."
"gel","leg","3","Easy","The definition of 'gel' as a semi-solid colloid is immediately clear, making it easy to anchor on."
"dew","wed","3","Easy","The definition of 'dew' as moisture from the atmosphere is immediately clear, making it easy to anchor on."
"loop","pool","4","Easy","The definition of 'loop' is a clear anchor, and the word is relatively common. The definition of 'pool' is also clear, but the word is less common."
"gut","tug","3","Easy","The definition of 'gut' is a clear anchor, and the word is relatively common. The definition of 'tug' is also clear, but the word is less common."
"nap","pan","3","Easy","The definition of 'nap' is a clear anchor, and the word is relatively common. The definition of 'pan' is also clear, and the word is well-known."
"lap","pal","3","Easy","The definition of 'lap' is a clear anchor, and the word is relatively common. The definition of 'pal' is also clear, and the word is well-known."
"bin","nib","3","Easy","The definition of 'bin' is a common and easily recognizable container for rubbish or waste, making it a good anchor for the puzzle."
"nit","tin","3","Easy","The definition of 'nit' is a common and easily recognizable egg of a louse, making it a good anchor for the puzzle."
"hay","yah","3","Easy","The definition of 'hay' is a common and easily recognizable type of grass, making it a good anchor for the puzzle."
"bis","sib","3","Easy","The definition of 'bis' is a common and easily recognizable term for twice, making it a good anchor for the puzzle."
"res","ser","3","Easy","The definition of 'res' is a common and easily recognizable term for a reservation or reserve, making it a good anchor for the puzzle."
"gnus","sung","4","Easy","The definition of 'gnus' is a plural noun, making it a clear anchor. The definition of 'sung' is a past participle, which is also a common concept."
"dor","rod","3","Easy","The definition of 'dor' is a type of dung beetle, which is a less common concept, but still a clear anchor. The definition of 'rod' is a straight stick, which is a common and easily recognizable concept."
"map","pam","3","Easy","The definition of 'map' is a visual representation of an area, which is a common and easily recognizable concept. The definition of 'pam' is a card game term, which is less common, but still a clear anchor."
"mar","ram","3","Easy","The definition of 'mar' is a verb meaning to spoil, which is a common and easily recognizable concept. The definition of 'ram' is a male sheep, which is also a common and easily recognizable concept."
"pupils","slipup","6","Easy","The definition of 'pupils' is immediately familiar, making it easy to anchor on."
"nip","pin","3","Easy","The definition of 'nip' is immediately familiar, making it easy to anchor on."
"pat","tap","3","Easy","The definition of 'pat' is immediately familiar, making it easy to anchor on."
"rat","tar","3","Easy","The definition of 'rat' is immediately familiar, making it easy to anchor on."
"cam","mac","3","Easy","The definition of 'cam' as a camera is immediately familiar, making it easy to anchor on."
"min","nim","3","Easy","The abbreviation 'min' for minute is immediately familiar, making it easy to anchor on."
"gem","meg","3","Easy","The definition of 'gem' as a precious stone is immediately familiar, making it easy to anchor on."
"snot","tons","4","Easy","The definition of 'snot' as mucus is immediately familiar, making it easy to anchor on."
"mat","tam","3","Easy","The definition of 'mat' as a flat piece of material is immediately familiar, making it easy to anchor on."
"gum","mug","3","Easy","The definition of 'gum' is a common word, making it an easy anchor for the puzzle."
"bus","sub","3","Easy","The definition of 'bus' is a common word, making it an easy anchor for the puzzle."
"bur","rub","3","Easy","The definition of 'bur' is a common word, making it an easy anchor for the puzzle."
"mils","slim","4","Easy","The definition of 'slim' is immediately recognizable, making it easy to anchor on."
"maws","swam","4","Easy","The definition of 'swam' is immediately recognizable, making it easy to anchor on."
"bats","stab","4","Easy","The definition of 'stab' is immediately recognizable, making it easy to anchor on."
"maps","spam","4","Easy","The definition of 'maps' is straightforward, and 'spam' is a familiar term in computing."
"bat","tab","3","Easy","The definition of 'bat' is straightforward, and 'tab' is a familiar term."
"pins","snip","4","Easy","The definition of 'pins' is a common word, making it easy to anchor on."
"flog","golf","4","Easy","The definition of 'flog' is a common word, making it easy to anchor on."
"pals","slap","4","Easy","The definition of 'slap' is a common and easily recognizable word, making it the anchor for this puzzle."
"paws","swap","4","Easy","The definition of 'swap' is a common and easily recognizable word, making it the anchor for this puzzle."
"burg","grub","4","Easy","The definition of 'burg' as a city or town is immediately familiar, making it easy to anchor on."
"keel","leek","4","Easy","The definition of 'keel' as a nautical term is less common, but 'leek' is a familiar vegetable that can be anchored on."
"ban","nab","3","Easy","The definition of 'ban' is a clear and immediate giveaway, making it easy to anchor on."
"gulp","plug","4","Easy","The definition of 'gulp' is a clear and immediate giveaway, making it easy to anchor on."
"gat","tag","3","Easy","The definition of 'gat' is a clear and immediate giveaway, making it easy to anchor on."
"bro","orb","3","Easy","The definition of 'bro' is a clear and immediate giveaway, making it easy to anchor on."
