"word","definition","reasoning"
"abas","A cutaneous disease; the scald-head. porrigo","This is a specific, non-trivial definition of the word."
"able","Having the necessary powers or the needed resources to accomplish a task.","This definition represents the most common and fundamental meaning of the word."
"abs","(informal) The abdominal muscles. plural of ab","This is the most common informal usage of the word, despite the secondary grammatical note."
"abut","(intransitive) To touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land)","This definition is comprehensive and describes the primary meaning without revealing the word."
"agar","A gelatinous substance obtained from red algae, especially Gracilaria species, used as a bacterial culture medium, in electrophoresis and as a food additive.","This is the most complete and common description of the substance."
"ages","(hyperbolic) A long time.","This is a very common and natural hyperbolic usage of the word."
"ailed","simple past and past participle of ail","This is the only available definition, despite being a trivial grammatical redirect."
"aim","Intention or goal.","This definition is concise, common, and clearly describes the word's meaning."
"air","(uncountable) The substance constituting Earth's atmosphere: a gaseous mixture of nitrogen, oxygen, and various trace gases.","This is the most fundamental and common meaning of the word, describing the atmospheric substance."
"airts","third-person singular simple present indicative of airt","This is the only available definition, despite being a trivial grammatical redirect."
"ait","An island in a river, especially the River Thames in England.","This definition provides a clear and descriptive meaning of the word."
"ajar","Slightly turned or opened.","This is the most common, concise, and natural meaning of the word."
"amah","(Singapore, Malaysia, Brunei, Indonesia) A female domestic helper; a maid.","This definition describes a common role, using a widely understood term ('maid')."
"amor","(now nonstandard) Archaic spelling of amour.","This is the only available definition, despite being an alternative spelling."
"anal","(not comparable) Of, related to, intended for or involving the anus. [from 18th c.]","This is the primary, most common, and readable definition of the word."
"anas","plural of ana","Although a grammatical redirect, it is the only definition provided."
"and","As a coordinating conjunction; expressing two elements to be taken together or in addition to each other.","This definition describes the most common and fundamental use of the word as a coordinating conjunction."
"anele","(obsolete) To anoint; to give extreme unction with oil.","This is the only definition available, despite being marked as obsolete."
"aneles","third-person singular simple present indicative of anele","Although a grammatical redirect, it is the only definition provided."
"anil","The indigo shrub; or the indigo dye obtained from the plant.","This definition is common, readable, and avoids technical jargon."
"animal","(loosely) Any member of the kingdom Animalia other than a human.","This definition is a common and natural description, more accessible than the highly scientific one."
"anon","Soon; in a little while.","This definition is a common and concise description of the word's meaning, even if somewhat archaic in modern usage."
"ante","A price or cost, as in up the ante.","This definition describes a common, generalized usage of the word beyond its specific poker context."
"ape","A Hominoidea primate other than a human.","This definition is a concise and accurate description of the animal, avoiding offensive or slang meanings."
"arak","A clear, unsweetened aniseed-flavoured alcoholic drink, produced and consumed primarily in the Levant.","This definition clearly describes the primary and most common meaning of the word, avoiding trivial redirects or obscure uses."
"aras","plural of ara","This is the only provided definition, despite being a trivial grammatical redirect, which is generally to be avoided per the rules. As a selection is mandatory, this is the only choice."
"arb","(countable, informal) An arboretum.","The definition 'An arboretum' is the most common, readable, and natural description for a general audience, avoiding more technical finance jargon."
"are","(rare) An accepted (but deprecated and rarely used) metric unit of area equal to 100 square metres, or a former unit of approximately the same extent. Symbol: a.","This is the only definition that is not a trivial grammatical redirect (e.g., 'present of be' or 'misspelling of')."
"aril","(botany) A tissue surrounding the seed in certain fruits such as pomegranates.","This is the only provided definition. While technical, it is clear and does not violate other critical rules."
"ark","(Abrahamism) The ship built by Noah to save his family and a collection of animals from the deluge; Noah's ark.","The definition referring to 'Noah's ark' is the most widely recognized and iconic meaning of the word in general culture."
